RecordedDate,Finished,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,Q5.1,Q5.2,Q5.2_7_TEXT,Q5.3,Q5.4,Q5.7,Q5.8,Q5.9,Q5.10,Q5.11,Q5.11_4_TEXT,Q5.12,Q6.1_1,Q6.1_3,Q6.1_4,Q6.1_5,Q6.1_6,Q6.1_2,Q6.1_7,Q7.1_1,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_2,Q7.1_9,Q2.1_Page Submit,Q262_Page Submit,Q21.1_Page Submit,Q22.1_Page Submit,Q23.1_Page Submit
2025-04-24 16:47:19,True,4,lenient,4,4,1,24,24,0,Female,Black,,2005,,Yes,Yes but only for accuracy target,45,0,Too difficult to achieve target(s),,,,,,,,,,,,,,,,,36.261,,,,31.866
2025-04-24 16:49:43,True,2,lenient,6,6,1,32,32,0,Male,White,,2006,"200,000 and over",No,Yes for both targets.,As many as possible,As few as possible,,,No,350,500,1000,1000,1000,1000,1000,500,500,750,1000,1000,1000,1000,52.692,,28.43,,
2025-04-24 16:53:03,True,3,strict,5,5,0,28,28,0,Male,Asian,,2005,"120,000 - 199,999",No,Yes for both targets.,45,0,,,Yes,10,15,20,30,40,45,50,5,10,10,20,40,45,50,158.472,,,54.038,
2025-04-24 17:08:46,True,2,lenient,4,4,0,25,25,1,Male,White,,2005,"120,000 - 199,999",Yes,Yes for both targets.,45,0,,,Yes,0,0,0,1000,1000,1000,1000,0,0,0,0,1000,1000,1000,9.888,,24.117,,
2025-04-24 17:23:08,True,1,strict,5,5,0,26,26,0,Female,Hispanic,,2005,,No,,As many as possible,0,,,,10,5,5,30,40,60,60,5,20,15,40,30,45,100,36.473,7.758,,,
2025-04-24 18:51:46,True,4,lenient,5,5,0,24,24,0,Male,Asian,,2006,"200,000 and over",No,Yes for both targets.,30,0,,,,200,200,350,300,500,400,300,200,200,100,300,200,250,300,2.021,,,,8.13
2025-04-24 18:53:53,True,1,strict,5,4,1,27,27,3,Male,Other,White and Hispanic,2005,"200,000 and over",No,,40,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.409,1.696,,,
2025-04-24 18:58:00,True,2,lenient,6,6,0,30,30,1,Female,Asian,,2005,"75,000 - 119,999",No,Yes for both targets.,all,0,,,Yes,0,10,15,70,20,50,100,10,20,30,40,60,70,80,33.11,,30.749,,
2025-04-24 19:24:42,True,3,strict,4,3,1,25,25,2,Male,White,,,,No,Yes for both targets.,As many as I could given my preferences,Tried to correct every misclick,,,Yes,50,50,100,150,100,150,300,,,,,,,,35.927,,,99.365,
2025-04-24 20:30:16,True,1,strict,4,4,0,25,25,0,Male,Asian,,2005,"0 - 24,999",Yes,,20 or higher,0,,,,500,500,1000,1000,1000,1000,1000,100,500,750,950,1000,600,900,1.939,2.838,,,
2025-04-24 20:36:29,True,2,lenient,5,5,0,28,28,0,Female,White,,2002,"0 - 24,999",No,Yes but only for accuracy target,,,,,,,,,,,,,,,,,,,,7.317,,22.103,,
2025-04-24 20:37:11,True,1,strict,6,6,0,26,26,1,Male,Hispanic,,2005,"120,000 - 199,999",Yes,,20,Around 1,,,,0,5,5,5,5,10,10,5,10,10,20,10,20,20,2.465,3.036,,,
2025-04-24 20:44:22,True,3,strict,6,6,0,25,25,0,Male,Hispanic,,2005,,,,,,,,Yes,,,,,,,,,,,,,,,2.189,,,62.344,
2025-04-24 20:47:30,True,4,lenient,5,5,0,28,28,1,Female,Asian,,2005,"200,000 and over",No,Yes for both targets.,30,5,,,,10,10,20,100,100,200,400,10,20,20,20,20,20,300,49.587,,,,8.05
2025-04-24 20:55:19,True,4,lenient,3,3,0,17,17,0,Male,White,,2005,"0 - 24,999",No,Yes for both targets.,I didn't set a goal.,I aimed at making no mistakes.,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.577,,,,21.961
2025-04-24 21:42:57,True,3,strict,5,5,0,25,25,0,Male,Asian,,,,Yes,Yes for both targets.,all sets,zero,,,No,,,,10,,20,30,,,,,20,,30,2.86,,,13.195,
2025-04-24 22:20:16,True,1,strict,5,5,0,30,29,1,Male,Asian,,2005,"75,000 - 119,999",Yes,,idk,I made 1 mistake intentionally to see what will happen,,,,100,200,200,300,600,500,800,100,150,200,250,300,400,1000,4.365,4.619,,,
2025-04-24 23:05:00,True,2,lenient,5,5,1,26,26,2,Male,Asian,,2004,"200,000 and over",Yes,Yes for both targets.,30,3,,,No,0,50,10,1000,1000,50,1000,20,20,100,150,150,300,200,32.605,,33.243,,
2025-04-24 23:10:41,True,4,lenient,4,4,0,30,30,1,Male,Hispanic,,2004,"0 - 24,999",Yes,Yes but only for accuracy target,45,0,Other,Gave more priority to accuracy over speed,,0,0,100,150,500,750,1000,0,0,0,200,250,500,1000,52.928,,,,86.358
2025-04-25 00:11:50,True,1,strict,4,4,0,23,23,0,Female,White,,2004,"0 - 24,999",Yes,,23,0,,,,0,75,100,125,150,175,200,,30,40,60,80,100,200,55.684,15.082,,,
2025-04-25 08:15:17,True,4,lenient,4,4,1,25,25,0,Female,Other,Middle Eastern (Arab),12/20/2005,"200,000 and over",No,Yes for both targets.,All of them,"0 Misktakes ",,,,0,0,10,48,40,35,35,0,0,0,0,0,30,30,55.812,,,,17.508
2025-04-25 09:54:34,True,1,strict,5,5,0,17,17,1,Male,Asian,,2005,"200,000 and over",No,,15,1,,,,0,0,0,0,100,100,500,0,200,200,300,450,450,500,2.455,1.138,,,
2025-04-25 10:29:04,True,2,strict,6,6,3,31,31,4,Female,Asian,,2006,,No,Yes for both targets.,45,4,,,Yes,40,40,40,40,40,40,40,10,10,10,10,10,10,10,1.813,,44.227,,
2025-04-25 10:38:30,True,3,strict,5,5,0,25,25,0,Male,Hispanic,,2005,"200,000 and over",Yes,Yes for both targets.,15,0,,,Yes,25,25,25,25,40,50,40,25,30,30,30,30,30,30,18.282,,,20.787,
2025-04-25 10:50:41,True,3,lenient,6,6,6,26,26,3,Male,White,,,,No,,,,,,,,,,,,,,,,,,,,,61.229,,,44.104,
2025-04-25 10:58:45,True,1,strict,7,6,1,24,24,0,Female,Asian,,,,No,,no aim,no aim,,,,,,,,,,,10,10,10,10,10,10,10,266.716,6.197,,,
2025-04-25 11:53:16,True,1,strict,5,5,0,27,27,0,Male,Asian,,2006,"200,000 and over",No,,around 25,0,,,,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,0,89181.841,1.723,,,
2025-04-25 13:30:38,True,3,strict,8,8,8,35,35,5,Male,Asian,,2005,"200,000 and over",Yes,Yes for both targets.,45,5,,,Yes,0,50,100,100,150,200,250,0,20,60,80,100,200,250,25.577,,,47.87,
2025-04-25 13:53:39,True,2,strict,4,4,0,19,19,0,Male,Hispanic,,2006,"200,000 and over",No,Yes for both targets.,20,0,,,No,35,30,29,30,28,28,25,25,25,22,20,19,18,16,51.895,,74.969,,
2025-04-25 13:56:27,True,3,strict,4,4,0,26,26,2,Male,White,,2004,"200,000 and over",Yes,Yes for both targets.,"45, but I was slower then I had expected. ","Originally, I wanted to to complete the tasks flawlessly, however it became apparent I would not be able to do this so if a number seemed to be particularly difficult, I wouldn't spend go back to fix it after messing up. ",,,Yes,20,13,100,40,50,100,100,0,0,0,0,0,0,0,37.27,,,76.057,
2025-04-25 13:59:47,True,2,lenient,3,3,0,12,12,0,Female,Hispanic,,2005,"75,000 - 119,999",Yes,Yes for both targets.,2,3,,,Yes,1,2,3,8,9,10,5,2,3,20,30,2,15,10,134.291,,21.825,,
2025-04-25 16:04:02,True,4,lenient,4,4,0,22,22,0,Female,Other,Mixed,2005,,No,Yes but only for accuracy target,40,None,,,,,,,,,,,,,,,,,,12.648,,,,43.759
2025-04-25 19:03:15,True,2,lenient,4,4,0,22,22,0,Male,Asian,,2006,"200,000 and over",No,Yes but only for accuracy target,25,0,Too difficult to achieve target(s),,Yes,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13.824,,21.432,,
2025-04-25 19:46:47,True,1,strict,2,2,0,22,22,5,Female,Asian,,2006,"200,000 and over",No,,As much as I can,0,,,,100,500,500,500,1000,1000,1000,100,20,100,100,500,500,1000,8.672,6.071,,,
2025-04-25 20:18:48,True,4,lenient,6,6,6,29,29,2,Female,White,,2005,,No,Yes but only for accuracy target,45,5,Too difficult to achieve target(s),,,45,50,50,55,57,60,65,15,15,20,50,15,50,50,20.864,,,,30.156
2025-04-25 22:07:20,True,2,strict,5,5,1,31,31,0,Male,Other,Middle Eastern,2006,"120,000 - 199,999",No,Yes for both targets.,45,0,,,No,100,150,400,400,500,1000,1000,20,60,50,75,90,100,150,24.451,,38.675,,
2025-04-25 23:16:10,True,4,lenient,5,5,0,35,35,1,Non-binary,Asian,,2005,"200,000 and over",Yes,Yes but only for accuracy target,"My aim was to complete 45, but not at the cost of mistakes",1,Too difficult to achieve target(s),,,125,175,250,325,400,450,500,100,150,200,250,350,450,500,26.097,,,,31.813
2025-04-26 10:42:21,True,4,lenient,5,5,0,22,22,1,Female,Asian,,2004,"200,000 and over",No,Yes but only for accuracy target,,1,"Too difficult to understand/ recall target(s),Other",only cared about accuracy,,,,,,,,,,,,,,,,27.411,,,,146.559
2025-04-26 13:43:19,True,2,strict,5,5,0,29,29,2,Female,Asian,,2006,"200,000 and over",No,Yes for both targets.,"I tried to complete all of them. ","I tried to not make any mistakes, and I didn't notice that I had made them until after. ",,,Yes,20,20,20,15,15,20,50,10,30,20,20,10,15,40,13.072,,16.805,,
2025-04-26 15:27:43,True,1,strict,5,5,0,34,34,0,Male,Other,Pakistani + Caucasian,2004,"120,000 - 199,999",Yes,,"didnt rlly have an aim; just tried to complete any many sets ",0 mistakes,,,,~20,~20,~20,~20,~100,~150,~800,~20,~20,~20,~20,~20,~20,~800,35.039,7.953,,,
2025-04-26 15:29:12,True,3,strict,5,5,0,23,23,1,Male,White,,2004,"200,000 and over",No,Yes for both targets.,,,,,Yes,300,,400,800,600,500,1000,200,500,1000,500,550,400,1000,29.037,,,24.844,
2025-04-26 17:44:46,True,4,lenient,5,5,0,27,27,0,Male,Other,Arab,2006,"200,000 and over",No,Yes for both targets.,30,0,,,,5,7.5,10,12.5,15,17.5,25,10,15,20,25,30,30,34,96045.862,,,,25.53
2025-04-26 23:36:04,True,3,lenient,5,5,0,29,29,4,Female,Asian,,,"200,000 and over",No,Yes for both targets.,25,4,,,No,2,70,70,70,70,100,150,20,20,40,100,120,150,150,5.101,,,68.946,
2025-04-27 09:32:12,True,3,strict,7,7,0,33,33,1,Male,Asian,,2004,"200,000 and over",No,Yes for both targets.,45,3,,,No,50,100,100,100,200,200,200,30,30,30,30,1000,1000,1000,7.52,,,111.766,
2025-04-27 14:43:30,True,3,strict,4,4,0,28,28,3,Female,White,,2006,"200,000 and over",Yes,Yes but only for accuracy target,20,3,Too difficult to achieve target(s),,No,,,,,,,,,,,,,,,129.372,,,53.02,
2025-04-27 15:00:23,False,3,strict,3,2,3,15,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.315,,,5.495,
2025-04-27 16:09:37,True,1,strict,5,5,0,30,30,0,Male,White,,2006,"200,000 and over",Yes,,I didn't aim for a specific number; I just kept the rhythm throughout the task.,I don't like mistakes.,,,,1000,900,800,700,600,500,300,,,,,,,,21.444,9.142,,,
2025-04-27 16:33:53,True,1,strict,6,6,0,30,30,2,Male,Asian,,2006,"200,000 and over",No,,15,2,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,87.164,1.734,,,
2025-04-27 16:56:48,True,2,lenient,5,5,0,25,25,6,Female,Asian,,,,No,Yes but only for accuracy target,"Unsure ",1,Too difficult to achieve target(s),,No,0,3,5,7,15,20,20,0,3,5,8,10,10,15,24.536,,46.834,,
2025-04-27 18:36:07,True,1,strict,4,4,0,61,8,54,Male,White,,2004,"200,000 and over",No,,,,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2.907,1.203,,,
2025-04-27 18:43:12,True,1,strict,6,6,1,32,32,0,Male,White,,2006,"200,000 and over",No,,N/A,0,,,,200,100,200,100,200,100,200,100,100,200,100,100,100,200,17.663,12.957,,,
2025-04-27 19:43:04,True,2,lenient,6,6,0,33,33,3,Male,Hispanic,,2006,"25,000 - 49,999",No,Yes for both targets.,45,5,,,Yes,50,500,1000,800,1000,1000,1000,100,400,500,1000,1000,1000,750,11.472,,17.692,,
2025-04-27 19:44:01,True,2,lenient,7,7,5,33,33,2,Male,Other,White + Asian,2005,"200,000 and over",Yes,Yes for both targets.,45,5,,,Yes,,,,,,,,,,,,,,,2.616,,13.16,,
2025-04-27 22:17:51,True,2,lenient,4,4,0,22,22,0,Male,White,,July 18th 2006,"200,000 and over",Yes,Yes for both targets.,"25 ",0,,,Yes,250,500,750,750,1000,1000,1000,100,100,300,300,300,300,300,6.067,,14.908,,
2025-04-28 07:08:15,False,,,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.336,,,,
2025-04-28 07:32:26,True,1,strict,8,8,8,36,34,36,Male,White,,2006,"200,000 and over",No,,NA,NA,,,,5,15,7,17,9,20,25,10,20,12,15,20,15,50,6.8,1.584,,,
2025-04-28 09:00:09,True,4,lenient,6,6,0,30,30,4,Male,White,,2005,"120,000 - 199,999",No,Yes but only for accuracy target,"As many as possible. I wanted to do it as accurately as possible, but then I decided to go a bit for speed by the end, hence my mistakes.","I tried to do 0, but then I started running out of time.",Too difficult to achieve target(s),,,1000,1000,1000,1000,1000,1000,1000,500,1000,1000,1000,1000,1000,1000,41.554,,,,28.674
2025-04-28 09:44:20,True,3,strict,5,5,0,29,28,1,Male,White,,2005,"75,000 - 119,999",No,Yes for both targets.,25,1,,,Yes,20,70,100,120,150,380,400,80,100,200,300,300,400,500,12.76,,,14.763,
2025-04-28 10:11:31,True,2,strict,7,7,0,32,32,2,Female,Asian,,2005,"200,000 and over",No,Yes but only for accuracy target,45,<4,"Too difficult to achieve target(s),Other","I figured I was on the strict criterion, so I chose to aim for accuracy",Yes,5,10,10,10,25,25,50,10,15,15,15,40,40,50,22.726,,24.742,,
2025-04-28 10:38:21,True,1,strict,4,4,0,23,23,0,Female,White,,2006,"200,000 and over",No,,15,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.644,1.5,,,
2025-04-28 10:39:18,True,3,lenient,7,7,0,36,36,0,Male,Asian,,2006,"200,000 and over",No,Yes for both targets.,as many as i could,0,,,No,,,,,,,,,,,,,,,18.999,,,16.5,
2025-04-28 10:44:40,True,2,lenient,4,4,0,22,22,0,Male,Asian,,2003,"200,000 and over",No,Yes for both targets.,25?,0,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.365,,29.926,,
2025-04-28 10:47:29,True,4,strict,4,3,3,19,19,0,Female,Hispanic,,2005,"50,000 - 74,999",Yes,Yes for both targets.,all of them,0,,,,2,4,5,10,15,15,17,6,10,15,16,20,25,25,48.64,,,,23.749
2025-04-28 10:51:53,True,3,strict,4,4,0,18,18,2,Male,White,,2003,"120,000 - 199,999",No,Yes but only for accuracy target,"took me about a minute to do 4 in the warmup, so about 20 was my aim",0,Too difficult to achieve target(s),,Yes,0,0,0,0,1000,1000,1000,0,0,0,0,1000,1000,1000,27.538,,,45.589,
2025-04-28 10:53:48,True,1,strict,4,4,0,23,23,1,Male,White,,1996,"50,000 - 74,999",No,,,,,,,,,,,,,,,,,,,,,7.52,3.166,,,
2025-04-28 11:12:06,True,4,lenient,5,5,0,17,17,0,Male,White,,2006,"120,000 - 199,999",No,Yes for both targets.,"20
",0,,,,0,500,100,100,1000,1000,1000,10,121,390,223,233,500,500,8.264,,,,7.102
2025-04-28 11:32:03,True,1,strict,5,5,0,29,29,5,Male,Asian,,2005,"120,000 - 199,999",No,,Didnt set a goal,Didnt limit myself,,,,0,0,0,0,0,0,100,,,,,,,,2.801,2.168,,,
2025-04-28 11:40:55,True,4,strict,2,2,0,33,33,1,Male,Asian,,2004,"200,000 and over",Yes,Yes for both targets.,45,3,,,,5,50,5,1000,1000,1000,1000,100,1000,100,1000,1000,1000,1000,5.715,,,,946.514
2025-04-28 12:01:22,True,1,strict,5,5,0,27,27,1,Female,White,,2005,"200,000 and over",Yes,,25,1,,,,500,500,800,775,750,900,1000,200,500,350,500,750,1000,1000,57.956,5.558,,,
2025-04-28 12:33:18,True,4,lenient,3,3,0,27,27,0,Male,Other,Mixed (Black & White),08282005,"75,000 - 119,999",No,Yes for both targets.,"As many as I possibly could. ",0,,,,0,0,0,0,0,0,500,0,0,0,0,0,0,500,4.157,,,,4.219
2025-04-28 13:35:54,True,4,lenient,5,5,0,27,27,4,Male,Asian,,2006,,No,Yes for both targets.,45,4,,,,200,500,600,800,1000,1000,1000,10,10,50,34,30,50,100,348.196,,,,47.543
2025-04-28 14:09:35,True,2,strict,5,5,0,27,27,1,Male,Asian,,2004,"75,000 - 119,999",No,Yes for both targets.,,,,,Yes,,,,,,,,,,,,,,,7.59,,79.739,,
2025-04-28 15:31:04,True,2,lenient,3,3,0,19,19,0,Male,Asian,,2002,"200,000 and over",No,Yes but only for accuracy target,like 30,0,"Too difficult to achieve target(s),Other","no time ",Yes,10,10,20,10,20,20,30,10,15,10,20,20,25,20,6.542,,42.182,,
2025-04-28 16:12:31,True,3,strict,3,3,0,21,19,3,Male,White,,2004,"200,000 and over",Yes,Yes for both targets.,15,3,,,Yes,,,,,,,,,,,,,,,7.195,,,5.939,
2025-04-28 17:19:19,True,1,strict,5,5,0,6,6,0,Male,Other,Mixed,05/18/2006,"120,000 - 199,999",Yes,,7,0,,,,200,500,400,800,1000,1000,1000,900,1000,1000,1000,1000,1000,1000,16.382,10.223,,,
2025-04-29 06:07:58,True,2,lenient,5,5,1,34,34,0,Male,Black,,2004,,Yes,Yes for both targets.,45,0,,,Yes,100,150,200,250,300,350,400,100,150,200,250,300,350,400,40.125,,115.004,,
2025-04-29 07:12:28,True,4,lenient,4,4,0,23,23,1,Male,Black,,2006,"200,000 and over",No,Yes but only for accuracy target,45,0,,,,,,,,,,,,,,,,,,7.682,,,,29.632
2025-04-29 07:12:43,True,4,lenient,3,3,0,23,23,1,Female,Hispanic,,2006,"200,000 and over",No,Yes but only for accuracy target,21,1,Too difficult to understand/ recall target(s),,,20,20,17,20,20,20,25,15,20,20,30,30,15,30,4.208,,,,12.015
2025-04-29 07:14:06,True,1,strict,3,3,0,23,23,0,Female,White,,2006,"120,000 - 199,999",No,,20,0,,,,50,100,100,100,300,400,500,100,100,125,100,200,400,500,8.345,1.164,,,
2025-04-29 07:14:08,True,1,strict,13,0,13,25,24,25,Female,White,,2006,"200,000 and over",No,,10,0,,,,300,460,450,500,669,760,800,457,250,567,600,477,1000,1000,2.658,0.518,,,
2025-04-29 07:15:19,True,4,lenient,5,5,0,24,24,0,Male,Asian,,,,No,Yes but only for accuracy target,,,,,,,,,,,,,,,,,,,,3.437,,,,51.476
2025-04-29 07:15:45,True,4,lenient,5,5,1,22,22,2,Female,White,,2006,,No,Yes but only for accuracy target,30,4,Too difficult to achieve target(s),,,100,100,250,500,500,500,500,100,100,500,500,500,500,500,42.657,,,,36.33
2025-04-29 07:16:41,True,1,strict,6,6,0,28,28,3,Male,Asian,,2005/101/5,"75,000 - 119,999",No,,,,,,,,,,,,,,,,,,,,,25.412,6.101,,,
2025-04-29 07:27:41,True,1,strict,5,5,2,29,29,2,Male,Asian,,2005,"200,000 and over",No,,30,2,,,,200,400,500,700,800,900,1000,400,500,600,700,750,800,1000,4.858,1.642,,,
2025-04-29 08:55:04,True,3,strict,3,3,0,16,16,1,Female,White,,2005,"200,000 and over",Yes,Yes but only for accuracy target,all,none,Too difficult to achieve target(s),,Yes,,,,,,,,,,,,,,,2.218,,,42.378,
2025-04-29 09:11:34,True,3,strict,2,2,0,15,15,1,Male,White,,2005,"200,000 and over",No,Yes but only for accuracy target,All,None,Did not care about target(s),,Yes,1000,1000,1000,1000,1000,1000,1000,80,90,80,90,60,60,70,15.828,,,2.813,
2025-04-29 10:17:35,True,2,strict,5,5,0,26,26,0,Male,Asian,,2005,"200,000 and over",No,Yes for both targets.,as many as possible,none,,,No,,,,,,,,n/a,,,n/a,n/a,,,4.878,,7.764,,
2025-04-29 10:25:31,True,1,strict,4,4,0,19,19,0,,,,,,Yes,,,0,,,,,,,,,,,,,,,,,,2.218,11.672,,,
2025-04-29 11:38:19,True,3,strict,5,5,1,25,25,3,Female,White,,2005,"200,000 and over",Yes,Yes but only for accuracy target,,,Did not care about target(s),,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.948,,,12.684,
2025-04-29 11:54:05,True,2,lenient,4,4,0,18,18,1,Female,Black,,2006,"25,000 - 49,999",No,Yes but only for accuracy target,as many as possible,0,Other,,No,2,1,5,3,5,7,7,"1,4","2,5.5","2.5,7.5","3,9.5","4,11","4.5,13","5,15",41.668,,41.091,,
2025-04-29 12:50:29,True,2,strict,8,8,1,41,41,2,Male,Asian,,2003,"200,000 and over",Yes,Yes for both targets.,45,0,,,Yes,1000,1000,1000,1000,1000,1000,1000,500,500,600,650,1000,1000,1000,33.836,,20.731,,
2025-04-29 14:59:33,True,1,strict,7,7,0,34,34,0,Male,Hispanic,,12/15/2005,"75,000 - 119,999",Yes,,"Not sure, maybe around 20",0,,,,500,1000,1000,1000,1000,1000,1000,500,300,500,500,450,1000,1000,17.749,9.255,,,
2025-04-30 09:23:59,True,2,strict,3,3,1,22,22,1,Female,White,,2004,"120,000 - 199,999",No,Yes but only for accuracy target,"as much as possible but with accuracy ","if i removed my finger than I let the mistake go I was confused on the directions ",Too difficult to understand/ recall target(s),,No,20,20,20,20,20,20,20,"20 ","20 ","20 it gets really boring ","20 ","20 ","20 ","20 ",6.477,,69.254,,
2025-04-30 11:42:43,True,2,strict,6,6,3,34,34,6,Female,Asian,,2006,"50,000 - 74,999",Yes,Yes for both targets.,40,under 10,,,No,45,45,45,45,45,45,45,45,45,45,45,45,45,45,526.053,,72.37,,
2025-04-30 16:23:58,True,1,strict,5,5,0,26,26,0,Male,White,,2006,"200,000 and over",No,,20,1 or 2,,,,0,0,0,0,100,100,100,0,0,0,0,0,0,0,23.352,3.596,,,
2025-05-01 08:56:31,True,4,strict,4,4,0,18,18,0,,,,,,Yes,Yes but only for accuracy target,,,Did not care about target(s),,,,,,,,,,,,,,,,,45.812,,,,25.538
2025-05-01 10:17:17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:17:17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:17:33,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:17:54,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:18:15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:18:19,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:19:16,False,3,strict,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.873,,,28.568,
2025-05-01 10:20:02,False,2,lenient,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.457,,16.121,,
2025-05-01 10:20:24,False,2,lenient,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.101,,5.886,,
2025-05-01 10:23:46,False,3,strict,4,4,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.231,,,40.478,
2025-05-01 10:24:36,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:27:46,False,3,lenient,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.831,,,5.179,
2025-05-01 10:30:15,False,2,lenient,4,4,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.351,,4.126,,
2025-05-01 10:33:30,False,2,strict,6,6,0,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.034,,32.992,,
2025-05-01 10:39:13,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:44:32,False,3,strict,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.275,,,4.749,
2025-05-01 10:46:55,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:47:28,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 10:58:23,False,3,strict,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.979,,,25.518,
2025-05-01 11:03:55,False,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.195,,,,
2025-05-01 11:04:34,False,2,strict,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.597,,4,,
2025-05-01 11:09:47,False,2,strict,5,5,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.604,,12.925,,
2025-05-01 12:29:56,False,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.113,,,,
2025-05-01 12:53:56,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 13:13:24,False,2,strict,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.661,,48.551,,
2025-05-01 14:27:14,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 14:28:01,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 14:28:14,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 15:25:26,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01 15:27:08,True,3,strict,4,4,1,22,22,2,Male,Hispanic,,2005,"200,000 and over",No,Yes for both targets.,all of them,None,,,No,0,,0,1000,1000,1000,1000,0,0,0,0,1000,1000,1000,32.503,,,56.184,
2025-05-01 16:22:21,False,2,lenient,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.929,,16.717,,
2025-05-01 18:41:55,False,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.601,,,,
2025-05-01 18:43:09,False,3,strict,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.725,,,110.859,
2025-05-01 20:28:36,False,2,strict,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.246,,61.337,,
2025-05-01 20:34:13,False,4,lenient,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.14,,,,43.29
2025-05-01 21:32:54,False,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.275,,,,
2025-05-02 10:05:45,False,2,lenient,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.969,,17.822,,
2025-05-02 10:19:20,False,4,lenient,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.699,,,,20.649
2025-05-02 13:01:21,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-02 19:07:28,False,3,strict,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.619,,,,
2025-05-03 16:58:57,True,1,strict,4,4,0,21,21,0,Male,Asian,,,,No,,not sure,0,,,,50,70,80,800,700,900,950,600,200,100,700,400,500,900,72.527,4.688,,,
2025-05-03 19:45:10,False,4,lenient,7,4,3,24,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,3.419,,,,2.821
2025-05-03 19:45:28,False,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,,,,
